2023-03-13 11:52:01,suyog41,md5,838eaa6343e3b6d085a23f5b3fbfa802,,https://twitter.com/suyog41/status/1635247339593158657
2023-03-13 10:01:42,malwrhunterteam,url,https://b6f48h69m92d58b9swq58h96j86b25gj8j90gdaqgbh754.square.site/,,https://twitter.com/malwrhunterteam/status/1635219575687217153
2023-03-13 20:42:12,malwrhunterteam,sha256,23f90634c033aad8f2708f7b110d8e25ed6c8da977ff2dce966b85697dcab775,,https://twitter.com/malwrhunterteam/status/1635380761523281927
2023-03-13 22:29:12,drb_ra,url,http://77.91.84.152:80,#CobaltStrike,https://twitter.com/drb_ra/status/1635407691286818817
2023-03-13 22:29:12,drb_ra,url,http://vsrssup.com./ch.html,#CobaltStrike,https://twitter.com/drb_ra/status/1635407691286818817
2023-03-13 22:29:12,drb_ra,url,http://vsrssup.com,#CobaltStrike,https://twitter.com/drb_ra/status/1635407691286818817
2023-03-13 22:29:12,drb_ra,ip,77.91.84.152,#CobaltStrike,https://twitter.com/drb_ra/status/1635407691286818817
2023-03-13 22:55:59,1ZRR4H,url,http://mercvip.com,,https://twitter.com/1ZRR4H/status/1635414431038582785
2023-03-13 23:09:10,drb_ra,url,http://54.82.65.234:443,#CobaltStrike,https://twitter.com/drb_ra/status/1635417750150545409
2023-03-13 23:09:10,drb_ra,url,"http://d3codndcrka2un.cloudfront.net./jquery-3.3.1.min.js,cdn.contentsecure.net,/jquery-3.3.1.min.js",#CobaltStrike,https://twitter.com/drb_ra/status/1635417750150545409
2023-03-13 23:09:10,drb_ra,url,http://cdn.contentsecure.net,#CobaltStrike,https://twitter.com/drb_ra/status/1635417750150545409
2023-03-13 23:09:10,drb_ra,ip,54.82.65.234,#CobaltStrike,https://twitter.com/drb_ra/status/1635417750150545409
2023-03-13 23:16:06,drb_ra,url,http://34.125.175.64:5005,#CobaltStrike,https://twitter.com/drb_ra/status/1635419492435087360
2023-03-13 23:16:06,drb_ra,url,http://34.125.190.77./dot.gif,#CobaltStrike,https://twitter.com/drb_ra/status/1635419492435087360
2023-03-13 23:16:06,drb_ra,ip,34.125.175.64,#CobaltStrike,https://twitter.com/drb_ra/status/1635419492435087360
2023-03-13 23:16:06,drb_ra,ip,34.125.190.77,#CobaltStrike,https://twitter.com/drb_ra/status/1635419492435087360
2023-03-13 23:17:07,drb_ra,url,http://185.232.92.68:10080,#CobaltStrike,https://twitter.com/drb_ra/status/1635419750376374275
2023-03-13 23:17:07,drb_ra,url,http://185.232.92.68./www/handle/doc,#CobaltStrike,https://twitter.com/drb_ra/status/1635419750376374275
2023-03-13 23:17:07,drb_ra,ip,185.232.92.68,#CobaltStrike,https://twitter.com/drb_ra/status/1635419750376374275
2023-03-13 23:17:16,drb_ra,url,http://64.227.190.71:443,#CobaltStrike,https://twitter.com/drb_ra/status/1635419785553911813
2023-03-13 23:17:16,drb_ra,url,http://homely-ecbhbqd3fdashda7.z01.azurefd.net./safebrowsing/qVF6jy/Q4jruGP5unHN4pP9bNX1c7vvi,#CobaltStrike,https://twitter.com/drb_ra/status/1635419785553911813
2023-03-13 23:17:16,drb_ra,url,http://homely-ecbhbqd3fdashda7.z01.azurefd.net,#CobaltStrike,https://twitter.com/drb_ra/status/1635419785553911813
2023-03-13 23:17:16,drb_ra,ip,64.227.190.71,#CobaltStrike,https://twitter.com/drb_ra/status/1635419785553911813
